function,version,total_reachable_lines,total_covered_lines,total_coverage_pct,func_reachable_lines,func_covered_lines,func_coverage_pct,reported_errors,error_categories
core_json.c:JSON_Iterate,1,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Iterate,2,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Iterate,3,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Iterate,4,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Iterate,5,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Iterate,6,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Iterate,7,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Iterate,8,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Iterate,9,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchConst,1,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchConst,2,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchConst,3,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchConst,4,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchConst,5,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchConst,6,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchConst,7,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchConst,8,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchConst,9,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchT,1,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchT,2,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchT,3,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchT,4,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchT,5,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchT,6,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchT,7,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchT,8,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_SearchT,9,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Validate,1,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Validate,2,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Validate,3,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Validate,4,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Validate,5,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Validate,6,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Validate,7,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Validate,8,0,0,0.0,0,0,0.0,0,[]
core_json.c:JSON_Validate,9,0,0,0.0,0,0,0.0,0,[]
core_json.c:arraySearch,1,0,0,0.0,0,0,0.0,0,[]
core_json.c:arraySearch,2,0,0,0.0,0,0,0.0,0,[]
core_json.c:arraySearch,3,0,0,0.0,0,0,0.0,0,[]
core_json.c:arraySearch,4,0,0,0.0,0,0,0.0,0,[]
core_json.c:arraySearch,5,0,0,0.0,0,0,0.0,0,[]
core_json.c:arraySearch,6,0,0,0.0,0,0,0.0,0,[]
core_json.c:arraySearch,7,0,0,0.0,0,0,0.0,0,[]
core_json.c:arraySearch,8,0,0,0.0,0,0,0.0,0,[]
core_json.c:arraySearch,9,0,0,0.0,0,0,0.0,0,[]
core_json.c:countHighBits,1,0,0,0.0,0,0,0.0,0,[]
core_json.c:countHighBits,2,0,0,0.0,0,0,0.0,0,[]
core_json.c:countHighBits,3,0,0,0.0,0,0,0.0,0,[]
core_json.c:countHighBits,4,0,0,0.0,0,0,0.0,0,[]
core_json.c:countHighBits,5,0,0,0.0,0,0,0.0,0,[]
core_json.c:countHighBits,6,0,0,0.0,0,0,0.0,0,[]
core_json.c:countHighBits,7,0,0,0.0,0,0,0.0,0,[]
core_json.c:countHighBits,8,0,0,0.0,0,0,0.0,0,[]
core_json.c:countHighBits,9,0,0,0.0,0,0,0.0,0,[]
core_json.c:hexToInt,1,0,0,0.0,0,0,0.0,0,[]
core_json.c:hexToInt,2,0,0,0.0,0,0,0.0,0,[]
core_json.c:hexToInt,3,0,0,0.0,0,0,0.0,0,[]
core_json.c:hexToInt,4,0,0,0.0,0,0,0.0,0,[]
core_json.c:hexToInt,5,0,0,0.0,0,0,0.0,0,[]
core_json.c:hexToInt,6,0,0,0.0,0,0,0.0,0,[]
core_json.c:hexToInt,7,0,0,0.0,0,0,0.0,0,[]
core_json.c:hexToInt,8,0,0,0.0,0,0,0.0,0,[]
core_json.c:hexToInt,9,0,0,0.0,0,0,0.0,0,[]
core_json.c:multiSearch,1,0,0,0.0,0,0,0.0,0,[]
core_json.c:multiSearch,2,0,0,0.0,0,0,0.0,0,[]
core_json.c:multiSearch,3,0,0,0.0,0,0,0.0,0,[]
core_json.c:multiSearch,4,0,0,0.0,0,0,0.0,0,[]
core_json.c:multiSearch,5,0,0,0.0,0,0,0.0,0,[]
core_json.c:multiSearch,6,0,0,0.0,0,0,0.0,0,[]
core_json.c:multiSearch,7,0,0,0.0,0,0,0.0,0,[]
core_json.c:multiSearch,8,0,0,0.0,0,0,0.0,0,[]
core_json.c:multiSearch,9,0,0,0.0,0,0,0.0,0,[]
core_json.c:nextKeyValuePair,1,0,0,0.0,0,0,0.0,0,[]
core_json.c:nextKeyValuePair,2,0,0,0.0,0,0,0.0,0,[]
core_json.c:nextKeyValuePair,3,0,0,0.0,0,0,0.0,0,[]
core_json.c:nextKeyValuePair,4,0,0,0.0,0,0,0.0,0,[]
core_json.c:nextKeyValuePair,5,0,0,0.0,0,0,0.0,0,[]
core_json.c:nextKeyValuePair,6,0,0,0.0,0,0,0.0,0,[]
core_json.c:nextKeyValuePair,7,0,0,0.0,0,0,0.0,0,[]
core_json.c:nextKeyValuePair,8,0,0,0.0,0,0,0.0,0,[]
core_json.c:nextKeyValuePair,9,0,0,0.0,0,0,0.0,0,[]
core_json.c:nextValue,1,0,0,0.0,0,0,0.0,0,[]
