function,max_version,best_total_coverage,best_func_coverage,min_errors
core_json.c:JSON_Iterate,9,0.0,0.0,0
core_json.c:JSON_SearchConst,9,0.0,0.0,0
core_json.c:JSON_SearchT,9,0.0,0.0,0
core_json.c:JSON_Validate,9,0.0,0.0,0
core_json.c:arraySearch,9,0.0,0.0,0
core_json.c:countHighBits,9,0.0,0.0,0
core_json.c:hexToInt,9,0.0,0.0,0
core_json.c:multiSearch,9,0.0,0.0,0
core_json.c:nextKeyValuePair,9,0.0,0.0,0
core_json.c:nextValue,9,0.0,0.0,0
core_json.c:shortestUTF8,9,0.0,0.0,0
core_json.c:skipAnyLiteral,9,0.0,0.0,0
core_json.c:skipAnyScalar,9,0.0,0.0,0
core_json.c:skipArrayScalars,9,0.0,0.0,0
core_json.c:skipCollection,9,0.0,0.0,0
core_json.c:skipDecimals,9,0.0,0.0,0
core_json.c:skipDigits,9,0.0,0.0,0
core_json.c:skipEscape,9,0.0,0.0,0
core_json.c:skipExponent,9,0.0,0.0,0
core_json.c:skipHexEscape,9,0.0,0.0,0
core_json.c:skipLiteral,9,0.0,0.0,0
core_json.c:skipNumber,9,0.0,0.0,0
core_json.c:skipObjectScalars,9,0.0,0.0,0
core_json.c:skipOneHexEscape,9,0.0,0.0,0
core_json.c:skipQueryPart,9,0.0,0.0,0
core_json.c:skipScalars,9,0.0,0.0,0
core_json.c:skipSpace,9,0.0,0.0,0
core_json.c:skipSpaceAndComma,9,0.0,0.0,0
core_json.c:skipString,9,0.0,0.0,0
core_json.c:skipUTF8,9,0.0,0.0,0
core_json.c:skipUTF8MultiByte,9,0.0,0.0,0
core_json.c:strnEq,9,0.0,0.0,0
pattern:core_json.c:for,9,0.0,0.0,0
pattern:core_json.c:if,9,0.0,0.0,0
pattern:core_json.c:switch,9,0.0,0.0,0
pattern:core_json.c:while,9,0.0,0.0,0
