function,1,2,3,4,5,6,7,8,9
core_json.c:JSON_Iterate,0,0,0,0,0,0,0,0,0
core_json.c:JSON_SearchConst,0,0,0,0,0,0,0,0,0
core_json.c:JSON_SearchT,0,0,0,0,0,0,0,0,0
core_json.c:JSON_Validate,0,0,0,0,0,0,0,0,0
core_json.c:arraySearch,0,0,0,0,0,0,0,0,0
core_json.c:countHighBits,0,0,0,0,0,0,0,0,0
core_json.c:hexToInt,0,0,0,0,0,0,0,0,0
core_json.c:multiSearch,0,0,0,0,0,0,0,0,0
core_json.c:nextKeyValuePair,0,0,0,0,0,0,0,0,0
core_json.c:nextValue,0,0,0,0,0,0,0,0,0
core_json.c:shortestUTF8,0,0,0,0,0,0,0,0,0
core_json.c:skipAnyLiteral,0,0,0,0,0,0,0,0,0
core_json.c:skipAnyScalar,0,0,0,0,0,0,0,0,0
core_json.c:skipArrayScalars,0,0,0,0,0,0,0,0,0
core_json.c:skipCollection,0,0,0,0,0,0,0,0,0
core_json.c:skipDecimals,0,0,0,0,0,0,0,0,0
core_json.c:skipDigits,0,0,0,0,0,0,0,0,0
core_json.c:skipEscape,0,0,0,0,0,0,0,0,0
core_json.c:skipExponent,0,0,0,0,0,0,0,0,0
core_json.c:skipHexEscape,0,0,0,0,0,0,0,0,0
core_json.c:skipLiteral,0,0,0,0,0,0,0,0,0
core_json.c:skipNumber,0,0,0,0,0,0,0,0,0
core_json.c:skipObjectScalars,0,0,0,0,0,0,0,0,0
core_json.c:skipOneHexEscape,0,0,0,0,0,0,0,0,0
core_json.c:skipQueryPart,0,0,0,0,0,0,0,0,0
core_json.c:skipScalars,0,0,0,0,0,0,0,0,0
core_json.c:skipSpace,0,0,0,0,0,0,0,0,0
core_json.c:skipSpaceAndComma,0,0,0,0,0,0,0,0,0
core_json.c:skipString,0,0,0,0,0,0,0,0,0
core_json.c:skipUTF8,0,0,0,0,0,0,0,0,0
core_json.c:skipUTF8MultiByte,0,0,0,0,0,0,0,0,0
core_json.c:strnEq,0,0,0,0,0,0,0,0,0
pattern:core_json.c:for,0,0,0,0,0,0,0,0,0
pattern:core_json.c:if,0,0,0,0,0,0,0,0,0
pattern:core_json.c:switch,0,0,0,0,0,0,0,0,0
pattern:core_json.c:while,0,0,0,0,0,0,0,0,0
