function,version,status,error_count,reported_errors,failure_count,error_categories
shadow.c:Shadow_AssembleTopicString,1,FAILED,1,1,0,generic_error
shadow.c:Shadow_AssembleTopicString,2,FAILED,1,1,0,generic_error
shadow.c:Shadow_AssembleTopicString,3,FAILED,1,1,0,generic_error
shadow.c:Shadow_MatchTopic,1,FAILED,1,1,0,generic_error
shadow.c:Shadow_MatchTopic,2,FAILED,1,1,0,generic_error
shadow.c:Shadow_MatchTopic,3,FAILED,1,1,0,generic_error
shadow.c:Shadow_MatchTopicString,1,FAILED,1,1,0,generic_error
shadow.c:Shadow_MatchTopicString,2,FAILED,1,1,0,generic_error
shadow.c:Shadow_MatchTopicString,3,FAILED,1,1,0,generic_error
shadow.c:containsSubString,1,FAILED,1,1,0,generic_error
shadow.c:containsSubString,2,FAILED,1,1,0,generic_error
shadow.c:containsSubString,3,FAILED,1,1,0,generic_error
shadow.c:createShadowTopicString,1,FAILED,1,1,0,generic_error
shadow.c:createShadowTopicString,2,FAILED,1,1,0,generic_error
shadow.c:createShadowTopicString,3,FAILED,1,1,0,generic_error
shadow.c:extractShadowMessageType,1,FAILED,1,1,0,generic_error
shadow.c:extractShadowMessageType,2,FAILED,1,1,0,generic_error
shadow.c:extractShadowMessageType,3,FAILED,1,1,0,generic_error
shadow.c:extractShadowRootAndName,1,FAILED,1,1,0,generic_error
shadow.c:extractShadowRootAndName,2,FAILED,1,1,0,generic_error
shadow.c:extractShadowRootAndName,3,FAILED,1,1,0,generic_error
shadow.c:extractThingName,1,FAILED,1,1,0,generic_error
shadow.c:extractThingName,2,FAILED,1,1,0,generic_error
shadow.c:extractThingName,3,FAILED,1,1,0,generic_error
shadow.c:getShadowOperationLength,1,FAILED,1,1,0,generic_error
shadow.c:getShadowOperationLength,2,SUCCESS,0,0,0,
shadow.c:getShadowOperationString,1,FAILED,1,1,0,generic_error
shadow.c:getShadowOperationString,2,FAILED,1,1,0,generic_error
shadow.c:getShadowOperationString,3,FAILED,1,1,0,generic_error
shadow.c:validateAssembleTopicParameters,1,FAILED,1,1,0,generic_error
shadow.c:validateAssembleTopicParameters,2,FAILED,1,1,0,generic_error
shadow.c:validateAssembleTopicParameters,3,FAILED,1,1,0,generic_error
shadow.c:validateMatchTopicParameters,1,FAILED,1,1,0,generic_error
shadow.c:validateMatchTopicParameters,2,FAILED,1,1,0,generic_error
shadow.c:validateMatchTopicParameters,3,FAILED,1,1,0,generic_error
